endTime,artistName,trackName,msPlayed
2023-11-23 06:25,The Dave Brubeck Quartet,Blue Rondo à la Turk,403640
2023-11-23 06:26,Alice Coltrane,Turiya & Ramakrishna,116
2023-11-23 06:31,Yusef Lateef,The Plum Blossom - Rudy Van Gelder Remaster,295066
2023-11-23 06:39,Yusef Lateef,Like It Is - Remastered,452533
2023-11-23 06:45,Miles Davis Quintet,It Never Entered My Mind,323186
2023-11-23 06:56,Yusef Lateef,Buddy and Lou,32199
2023-11-23 07:11,Yusef Lateef,Buddy and Lou,160277
2023-11-23 07:15,Charlie Parker,Summertime,167121
2023-11-23 07:18,Yusef Lateef,Bishop School,185440
2023-11-23 07:25,Yusef Lateef,Nubian Lady - 1972,398533
2023-11-23 07:32,Mulatu Astatke,Tezeta,368539
2023-11-23 07:37,Yusef Lateef,Eastern Market,259400
2023-11-23 07:41,Mulatu Astatke,Yèkèrmo Sèw,253386
2023-11-23 07:47,Yusef Lateef,Othelia - Remastered,275600
2023-11-23 07:53,Hank Mobley,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,369386
2023-11-23 08:00,Yusef Lateef,Blues For The Orient - Rudy Van Gelder Remaster,334813
2023-11-23 08:04,Yusef Lateef,Bamboo Flute Blues,239360
2023-11-23 08:15,Yusef Lateef,Michelle,21509
2023-11-23 16:42,Yusef Lateef,Michelle,83313
2023-11-23 16:55,Yusef Lateef,Like It Is - Remastered,190447
2023-11-24 06:09,Jerry Garcia,Shady Grove,259533
2023-11-24 06:13,War,Spill the Wine,246333
2023-11-24 06:16,Morphine,Cure for Pain,194093
2023-11-24 06:20,Uncle Tupelo,Sandusky,223640
2023-11-24 06:25,Traffic,Here Comes A Man,308800
2023-11-24 06:27,The Peanut Butter Conspiracy,Flight of the Psychedelic Bumble Bee,122666
2023-11-24 06:32,The Black Crowes,Sting Me,280133
2023-11-24 06:36,Jimi Hendrix,"Killing Floor - Live at The Hollywood Bowl, Hollywood, CA - August 18, 1967",223616
2023-11-24 06:43,The Black Crowes,Sometimes Salvation,284000
2023-11-24 06:59,Mick Jagger,I've Been Lonely For So Long,209160
2023-11-24 07:11,Béla Fleck and the Flecktones,The Sinister Minister,2577
2023-11-24 11:57,Béla Fleck and the Flecktones,The Sinister Minister,274567
2023-11-24 12:00,Mick Jagger,Think,179053
2023-11-24 12:05,Mick Jagger,Wandering Spirit,258933
2023-11-24 12:12,Traffic,Nowhere Is Their Freedom,420426
2023-11-24 12:17,The Black Crowes,Jealous Again,275066
2023-11-24 12:22,Pearl Jam,Corduroy - Remastered,277586
2023-11-24 12:23,Blur,Tender,9228
2023-11-24 12:27,Elliott Smith,Waltz #2 (XO),280106
2023-11-24 12:28,The Flaming Lips,Race for the Prize - 2017 Remaster,45207
2023-11-24 12:33,Jeff Buckley,Last Goodbye,275720
2023-11-24 12:37,Red Hot Chili Peppers,Road Trippin',204960
2023-11-24 12:42,Queens of the Stone Age,Regular John,277808
2023-11-24 12:43,Jeff Buckley,Mojo Pin,94583
2023-11-24 12:49,Rush,Animate - 2004 Remaster,363440
2023-11-24 13:00,Pearl Jam,Dissident - Remastered,2833
2023-11-25 07:16,Yusef Lateef,Like It Is - Remastered,452533
2023-11-25 07:19,Thelonious Monk,'Round Midnight,193840
2023-11-25 07:25,Mulatu Astatke,Tezeta,368539
2023-11-25 07:28,Miles Davis,"Générique - Bande originale du film ""Ascenseur pour l'échafaud""",168512
2023-11-25 07:36,Horace Silver,Song For My Father,438280
2023-11-25 07:36,Miles Davis,"Flamenco Sketches (feat. John Coltrane, Cannonball Adderley & Bill Evans)",10727
2023-11-25 07:40,John Coltrane,Naima - Mono,265049
2023-11-25 07:48,Yusef Lateef,Buddy and Lou,192466
2023-11-25 07:52,Mulatu Astatke,Yèkèrmo Sèw,253386
2023-11-25 07:58,Miles Davis Quintet,It Never Entered My Mind,323186
2023-11-25 08:02,Yusef Lateef,Eastern Market,259400
2023-11-25 08:08,Yusef Lateef,Juba Juba - Remastered,263173
2023-11-25 08:11,Yusef Lateef,Bishop School,185440
2023-11-25 08:17,Yusef Lateef,Russell and Eliot,293146
2023-11-25 08:23,Yusef Lateef,Nubian Lady - 1972,398533
2023-11-25 08:28,Yusef Lateef,The Plum Blossom - Rudy Van Gelder Remaster,295066
2023-11-25 08:32,Yusef Lateef,Nocturne,239800
2023-11-25 08:33,Yusef Lateef,Michelle,6077
2023-11-25 08:38,Yusef Lateef,Love Theme From Spartacus - Rudy Van Gelder Remaster / 2006,251600
2023-11-25 10:49,Oliver Nelson,Stolen Moments,298363
2023-11-25 15:55,Chet Atkins,Jam Man,199493
2023-11-25 16:08,Herbie Mann,Memphis Underground,80791
2023-11-25 17:08,Herbie Mann,Memphis Underground,348435
2023-11-25 17:10,Buddy Rich Big Band,"The Beat Goes On - Live At Chez Club, Hollywood/1966/Remix",2338
2023-11-25 17:10,Sly & The Family Stone,If You Want Me to Stay,17664
2023-11-25 17:12,Mose Allison,The Seventh Son,157226
2023-11-25 17:16,Herbie Hancock,Fat Mama,229026
2023-11-25 17:22,Peter Green,Just for You,276160
2023-11-25 17:22,Nina Simone,Suzanne,22818
2023-11-25 17:26,Al Green,Take Me to the River,225373
2023-11-25 17:28,Buddy Miles,Down By The River,58320
2023-11-25 17:28,Ramsey Lewis,Cry Baby Cry,1951
2023-11-25 17:35,Bill Frisell,Pipeline,426173
2023-11-25 17:37,The Style Council,Mick's Blessings,76800
2023-11-25 17:49,Curtis Mayfield,Billy Jack,115295
2023-11-25 21:49,Curtis Mayfield,Billy Jack,1450
