,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist
1997,0.344,0.0767,4,-28.699,0,0.0439,0.713,0.735,0.121,0.039,118.162,audio_features,2vybeJUAD8WC7T2SBOnLsZ,spotify:track:2vybeJUAD8WC7T2SBOnLsZ,https://api.spotify.com/v1/tracks/2vybeJUAD8WC7T2SBOnLsZ,https://api.spotify.com/v1/audio-analysis/2vybeJUAD8WC7T2SBOnLsZ,221000,4,Old Rain,Premiata Forneria Marconi
2000,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,audio_features,5sFDReWLrZHLFZFjHsjUTS,spotify:track:5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/audio-analysis/5sFDReWLrZHLFZFjHsjUTS,206773,4,Would? (2022 Remaster),Alice In Chains
2002,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,audio_features,14XWXWv5FoCbFzLksawpEe,spotify:track:14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe,434720,4,Riders on the Storm,The Doors
2022,0.388,0.529,7,-10.533,1,0.0436,0.16,0.0681,0.108,0.332,150.721,audio_features,5NQYyej46WQkgCbnzGD21W,spotify:track:5NQYyej46WQkgCbnzGD21W,https://api.spotify.com/v1/tracks/5NQYyej46WQkgCbnzGD21W,https://api.spotify.com/v1/audio-analysis/5NQYyej46WQkgCbnzGD21W,235773,4,Dear Prudence - Remastered 2009,The Beatles
2023,0.457,0.923,11,-4.883,0,0.124,0.12,0.00259,0.314,0.423,98.051,audio_features,2k9fhELJm2UBW7sTWYCNGB,spotify:track:2k9fhELJm2UBW7sTWYCNGB,https://api.spotify.com/v1/tracks/2k9fhELJm2UBW7sTWYCNGB,https://api.spotify.com/v1/audio-analysis/2k9fhELJm2UBW7sTWYCNGB,143520,4,Over Under Sideways Down (Stereo Version) - Remastered,The Yardbirds
2031,0.599,0.622,6,-7.019,1,0.128,0.222,0.0,0.536,0.907,117.574,audio_features,1DfWmv1eJU1a9tuGpqKGFP,spotify:track:1DfWmv1eJU1a9tuGpqKGFP,https://api.spotify.com/v1/tracks/1DfWmv1eJU1a9tuGpqKGFP,https://api.spotify.com/v1/audio-analysis/1DfWmv1eJU1a9tuGpqKGFP,223680,4,Gypsy Eyes,Jimi Hendrix
2035,0.46,0.72,1,-11.263,1,0.0525,0.242,0.00831,0.528,0.59,123.548,audio_features,11t59LqOhOEG40yqALXZon,spotify:track:11t59LqOhOEG40yqALXZon,https://api.spotify.com/v1/tracks/11t59LqOhOEG40yqALXZon,https://api.spotify.com/v1/audio-analysis/11t59LqOhOEG40yqALXZon,249920,4,Ezy Ryder,Jimi Hendrix
2039,0.488,0.209,10,-19.549,1,0.0369,0.374,5.05e-06,0.103,0.362,120.63,audio_features,1KueOLeUZpaNRK2InckxVT,spotify:track:1KueOLeUZpaNRK2InckxVT,https://api.spotify.com/v1/tracks/1KueOLeUZpaNRK2InckxVT,https://api.spotify.com/v1/audio-analysis/1KueOLeUZpaNRK2InckxVT,283493,4,1952 Vincent Black Lightning,Richard Thompson
2047,0.407,0.479,2,-14.781,1,0.0329,0.191,0.901,0.352,0.919,155.252,audio_features,29qFlNOssruDfoEN8vN2Uu,spotify:track:29qFlNOssruDfoEN8vN2Uu,https://api.spotify.com/v1/tracks/29qFlNOssruDfoEN8vN2Uu,https://api.spotify.com/v1/audio-analysis/29qFlNOssruDfoEN8vN2Uu,140413,4,Foggy Mountain Breakdown,Flatt & Scruggs
2048,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,audio_features,63OFKbMaZSDZ4wtesuuq6f,spotify:track:63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/tracks/63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/audio-analysis/63OFKbMaZSDZ4wtesuuq6f,210373,4,Born To Be Wild,Steppenwolf
2049,0.632,0.824,4,-9.552,0,0.0372,0.055,0.13,0.0992,0.962,93.872,audio_features,4zrhH4Lpr3zOqbi6Ry7HVR,spotify:track:4zrhH4Lpr3zOqbi6Ry7HVR,https://api.spotify.com/v1/tracks/4zrhH4Lpr3zOqbi6Ry7HVR,https://api.spotify.com/v1/audio-analysis/4zrhH4Lpr3zOqbi6Ry7HVR,190453,4,Losing The Dogs - Mono,Ten Years After
