artist,track
Tangerine Dream,The Dream Is Always The Same - From 'Risky Business' Original Motion Picture Soundtrack
Tangerine Dream,Rubycon Part One
Tangerine Dream,Cinnamon Road
Tangerine Dream,Love On A Real Train - From 'Risky Business' Original Motion Picture Soundtrack
Kraftwerk,The Model - 2009 Remaster
Thievery Corporation,Lebanese Blonde
Harmonia,Ahoi
Klaus Schulze,Castles - Bonustrack
Space Art,Convoi - Bonus Track
Tangerine Dream,Choronzon
Erik Satie,3 Gymnopédies: Gymnopedie No. 1
Samuel Barber,Barber: Adagio for Strings
Stanley Myers,Cavatina
Ludwig van Beethoven,Speaking Unto Nations (Beethoven Symphony no 7 - II )
Richard Wagner,"Die Walkure, Act III: Ride of the Valkyries"
Erik Satie,Gnossienne No.1: Lent
Ludwig van Beethoven,"Symphony No. 7 in A, Op. 92: 2. Allegretto"
Claude Debussy,"Suite bergamasque, L. 75: No. 3, Clair de lune (Arr. L. Caillet for Orchestra)"
Miles Davis,Backyard Ritual
Dmitri Shostakovich,Jazz Suite No. 2: VI. Waltz II
Frank Zappa,Sofa No. 2
The Doors,Five to One
Miles Davis,"Sivad - Live at the Cellar Door, Washington, DC - December 1970"
Miles Davis,Black Satin
John Lennon,Hold On - Remastered 2010
Miles Davis,Frelon brun
Ultimate Spinach,(Ballad Of) The Hip Death Goddess
Eric Burdon & the Animals,Monterey
Pink Floyd,Summer '68 - 2011 Remaster
Pink Floyd,San Tropez - 2011 Remastered Version
Miles Davis,Orange
Tangerine Dream,Cloudburst Flight
The Doors,Who Scared You - 2019 Remaster
Al Di Meola,Race With Devil On Spanish Highway
Traffic,Shanghai Noodle Factory
Ultimate Spinach,Gilded Lamp of the Cosmos
Grateful Dead,Death Don't Have No Mercy
Cream,Badge
Mahavishnu Orchestra,Birds Of Fire
Traffic,Heaven Is In Your Mind
Kaleidoscope,Egyptian Garden
The Rolling Stones,2000 Light Years From Home - Stereo / Remastered
Igor Stravinsky,The Rite of Spring: Part One: Adoration of the Earth: Introduction
Tangerine Dream,Mysterious Semblance At The Strand Of Nightmares - Remastered 2018
Tangerine Dream,No Happy Endings
Tangerine Dream,The Mountain Road
Tangerine Dream,It Is Time to Leave When Everyone Is Dancing
Tangerine Dream,Sequent 'C' - Remastered 2018
The Pretty Things,Talkin' About The Good Times
Cream,SWLABR
King Crimson,Sartori in Tangier
The Beatles,Strawberry Fields Forever - Remastered 2009
The Doors,Maggie M'Gill
Santana,Hope You're Feeling Better
Talking Heads,Don't Worry About the Government
Santana,Soul Sacrifice
The Pretty Things,Defecting Grey
The Doors,When the Music's Over
Buffalo Springfield,Questions
Dixie Dregs,Road Expense
Frank Zappa,Blessed Relief
Frank Zappa,Cletus Awreetus-Awrightus
Miles Davis,Water on the Pond
Deodato,September 13
Love,She Comes in Colors
Frank Zappa,Montana
Fleetwood Mac,Coming Your Way - 2013 Remaster
Jerry Garcia Band,Eleanor Rigby - Live
Adrian Belew,Big Electric Cat
Albert Ayler,Sun Watcher
Cluster,Schöne Hände
Tangerine Dream,Movements Of A Visionary - Remastered 2018
Tangerine Dream,Hyperborea - 1995 Remaster
Jean-Michel Jarre,"Oxygene, Pt. 1"
Ashra,Midnight On Mars
Tangerine Dream,Cinnamon Road - 1995 Remaster
Ultimate Spinach,YOUR HEAD IS REELING
Joël Fajerman,Racines synthétiques
Camel,Song Within A Song
Pink Floyd,Fat Old Sun - 2011 Remaster
Pink Floyd,Ibiza Bar - 2011 Remaster
Pink Floyd,Careful With That Axe Eugene - 1996 Remastered Version
Les Claypool,Cosmic Highway
King Crimson,Discipline
Vangelis,Blade Runner - End Titles
Gustav Holst,"The Planets, Op. 32: I. Mars, the Bringer of War"
Modest Mussorgsky,Pictures at an Exhibition (Orch. Ravel): Promenade I
The Tony Williams Lifetime,Emergency
Talking Heads,New Feeling - 2005 Remaster
Tangerine Dream,Force Majeure (Excerpt)
Tangerine Dream,Ricochet - Live On European Tour / 1975 / Pt. 1 / Remastered 2018
The Doors,The WASP (Texas Radio and the Big Beat) - New Stereo Mix
King Crimson,Thela Hun Ginjeet
Pink Floyd,Up The Khyber - 2011 Remaster
The Doors,My Eyes Have Seen You - New Stereo Mix
Pink Floyd,Let There Be More Light - 2011 Remaster
Banchee,Beautifully Day
Fever Tree,Imitation Situation 1
Kaleidoscope,I'll Kiss You Once
Kaleidoscope,(Love Song) For Annie
Ablaye Cissoko,Bamaya
Björn Meyer,Three Thirteen
Renaud Garcia-Fons,Ricercare
Hadouk Trio,Nambaraï Gate
Steve Tibbetts,Sitavana
Karim Baggili,Dawn at Sea - Instrumentale
Ralph Towner,Tarry
Anouar Brahem,Dar es salaam
Toufic Farroukh,Villes invisibles (Intro)
Karim Baggili,Fly To - Instrumentale
Paolo Damiani,Sequenza Prima (Sequenze Orfiche) - Live
Talking Heads,I Zimbra
Pink Floyd,Party Sequence - 2011 Remaster
Grateful Dead,Casey Jones - 2013 Remaster
Jerry Garcia,Sittin' Here In Limbo
Bill Frisell,Outlaws
Grateful Dead,Mississippi Half-Step Uptown Toodeloo - 2013 Remaster
The Chocolate Watchband,In The Past
Grateful Dead,Here Comes Sunshine - 2013 Remaster
Pink Floyd,Astronomy Domine - 2011 Remaster
Kaleidoscope,The Sky Children
Premiata Forneria Marconi,Impressioni di Settembre
John Lennon,#9 Dream - Remastered 2010
John Lennon,How Do You Sleep? - Remastered 2010
Cream,Politician
The Velvet Underground,Sweet Jane
John Lennon,God - Remastered 2010
John Lennon,Nobody Told Me - Remastered 2010
John Lennon,Mind Games - Remastered 2010
John Lennon,Whatever Gets You Thru The Night - Remastered 2010
Jim Morrison,Black Polished Chrome
Jefferson Airplane,Plastic Fantastic Lover
John Coltrane,"A Love Supreme, Pt. I – Acknowledgement"
Syd Barrett,Octopus
Captain Beefheart & His Magic Band,Observatory Crest
Captain Beefheart & His Magic Band,Zig Zag Wanderer
Syd Barrett,Baby Lemonade
Led Zeppelin,Down by the Seaside - Remaster
The Who,The Real Me
Led Zeppelin,Whole Lotta Love - 1990 Remaster
Traffic,(Roamin' Thro' The Gloamin' With) 40.000 Headman
Ultimate Spinach,Jazz Thing
Buffalo Springfield,For What It's Worth
Led Zeppelin,Over the Hills and Far Away - Remaster
Steely Dan,My Old School
Steely Dan,Reelin' In The Years
Tom Petty and the Heartbreakers,Breakdown
Led Zeppelin,Fool in the Rain - Remaster
Tom Petty and the Heartbreakers,Anything That's Rock 'n' Roll
Tom Petty and the Heartbreakers,Refugee
Tom Petty and the Heartbreakers,Into The Great Wide Open
The Who,Pinball Wizard
Pink Floyd,Cymbaline - 2011 Remaster
Pink Floyd,Have A Cigar - 2011 Remaster
Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster"
Thelonious Monk,Thelonious
The Open Mind,Magic Potion - Bonus
Vanilla Fudge,You Keep Me Hangin' On
Pink Floyd,Set The Controls For The Heart Of The Sun - 2011 Remaster
13th Floor Elevators,Slip Inside This House - Mono LP Version
Bill Frisell,Pretty Stars
Grateful Dead,Althea
Canned Heat,Let's Work Together
Hatfield & The North,Aigrette
Pink Floyd,Pow R. Toc. H - 2011 Remaster
Soft Machine,We Did It Again
Brian Eno,Tzima N'arki
Herbie Hancock,Fat Mama
Elliott Smith,Son Of Sam
Elliott Smith,Needle In The Hay
The Dandy Warhols,Minnesoter
The Dandy Warhols,Not If You Were The Last Junkie On Earth
The Dandy Warhols,Not Your Bottle - Remastered
The Dandy Warhols,Nietzsche
The Dandy Warhols,Godless
The Dandy Warhols,Mohammed
The Dandy Warhols,Every Day Should Be A Holiday
The Dandy Warhols,Get Off
The Dandy Warhols,Plan A
Jimi Hendrix,Little Wing
Pink Floyd,Echoes - 2011 Remastered Version
Pink Floyd,Comfortably Numb - 2011 Remastered Version
Pink Floyd,One Of These Days - 2011 Remastered Version
The Dandy Warhols,Thee Elegant Bum
The Dandy Warhols,All the Girls in London
Frank Zappa,Willie The Pimp
The Yardbirds,For Your Love - 2015 Remaster
Link Wray,Rumble
Fleetwood Mac,Purple Dancer
Creedence Clearwater Revival,Ramble Tamble
The Dandy Warhols,Nietzsche
Frank Zappa,Tell Me You Love Me
Creedence Clearwater Revival,Who'll Stop The Rain
Creedence Clearwater Revival,I Heard It Through The Grapevine
Creedence Clearwater Revival,Bad Moon Rising
Creedence Clearwater Revival,Run Through The Jungle
Creedence Clearwater Revival,Lookin' Out My Back Door
Creedence Clearwater Revival,Proud Mary
Creedence Clearwater Revival,Travelin' Band
Creedence Clearwater Revival,My Baby Left Me
Creedence Clearwater Revival,Down On The Corner
Creedence Clearwater Revival,Ooby Dooby
Pink Floyd,Stay - 2011 Remastered Version
Renaissance,Spare Some Love
The Dandy Warhols,Get Off
13th Floor Elevators,Through the Rhythm (2008 Remastered Original Mono LP Version)
Moby Grape,Sweet Ride (Never Again) - Long Version
13th Floor Elevators,Slip Inside This House - Stereo LP Version
Aphrodite's Child,Aegian Sea
The Pretty Things,Baron Saturday
The Dandy Warhols,Cool Scene
Kaleidoscope,Taxim
Frank Zappa,Black Napkins
Manu Chao,Lágrimas de oro
Manu Chao,Día luna...Día pena
The Doors,Waiting for the Sun
Creedence Clearwater Revival,Fortunate Son
The Doors,L.A. Woman
Jasper van't Hofs Pili Pili,Uneven Image
Jasper van't Hofs Pili Pili,M'Bogne Mou Ra Fanhe M'Ma
Jasper van't Hofs Pili Pili,Bambara
Jasper van't Hofs Pili Pili,Yoraba Gospel
Jasper van't Hofs Pili Pili,A Presi Dee
Jasper van't Hofs Pili Pili,Lifestory
Jasper van't Hofs Pili Pili,Our Neighbours Party
Jasper van't Hofs Pili Pili,Tight lips
Jasper van't Hofs Pili Pili,Summerdance
Jasper van't Hofs Pili Pili,Liberata
Jasper van't Hofs Pili Pili,Shangani Talk
Pink Floyd,Money - 2011 Remastered Version
Michael Rother,Feuerland
Al Di Meola,Mediterranean Sundance
Toots Thielemans,"Theme from ""Midnight Cowboy"""
Ennio Morricone,The Ecstasy Of Gold - 2004 Remaster
Ultimate Spinach,Gilded Lamp of the Cosmos (Behold & See) [Original Mono Mix]
Strawberry Alarm Clock,The World's On Fire
Ultimate Spinach,Where You're At
Ultimate Spinach,Fifth Horseman of the Apocalypse (Original Mono Mix)
Quicksilver Messenger Service,Happy Trails
Quicksilver Messenger Service,Which Do You Love
The Pretty Things,Mr Evasion
Ten Years After,Going To Try
Ten Years After,Skoobly-Oobly-Doobob
Ten Years After,I Can't Live Without Lydia
Ten Years After,Choo Choo Mama - 2017 Remaster
Ten Years After,Stoned Woman - 2017 Remaster
Ten Years After,I Woke up This Morning
Ten Years After,Here They Come - 2004 Remaster
Ten Years After,I Want To Know
Sleepy John Estes,Leavin' Trunk
Quicksilver Messenger Service,Fresh Air
Pink Floyd,A Saucerful Of Secrets (Live) [2011 - Remaster]
Pink Floyd,Careful With That Axe Eugene (Live) [2011 - Remaster]
Cream,Strange Brew
Yes,All Connected
Frank Zappa,Welcome To The United States
The Byrds,You Ain't Goin' Nowhere
Allman Brothers Band,Revival
Traffic,John Barleycorn (Must Die) - Remastered 2010
The Byrds,Wasn't Born to Follow
The Byrds,Mr. Tambourine Man
Arlo Guthrie,Anytime
Arlo Guthrie,The City of New Orleans
America,Sister Golden Hair
Paul Simon,American Tune
Arlo Guthrie,Highway in the Wind
Arlo Guthrie,The Motorcycle Song
Arlo Guthrie,Alice's Restaurant Massacree
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season)
Arlo Guthrie,Lightning Bar Blues
Arlo Guthrie,Last Train
Arlo Guthrie,St. James Infirmary - Live
Arlo Guthrie,Darkest Hour - Live
Creedence Clearwater Revival,Susie Q
Creedence Clearwater Revival,Green River
Creedence Clearwater Revival,Born On The Bayou
Creedence Clearwater Revival,I Put A Spell On You
T. Rex,Cosmic Dancer
Bob Dylan,Ballad of a Thin Man
Grateful Dead,That's It for the Other One (Parts I-IV)
Bob Weir,Big Iron
James Gang,Yadig?
T. Rex,20th Century Boy - Remaster
Miles Davis,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)"
Aphex Twin,Jynweythek
Philip Glass,Etude No. 2
Philip Glass,Truman Sleeps
Brian Eno,Emerald and Stone
Terry Riley,G Song (arr. Keisuke Nakagoshi for piano 4 hands)
Maurice Ravel,"Ravel: String Quartet, M. 35: II. Assez vif - Très rythmé"
Aphex Twin,Icct Hedral - Phillip Glass Orchestration
Philip Glass,"String Quartet No. 3, ""Mishima"": VI. Mishima / Closing"
Mulatu Astatke,Yèkèrmo Sèw
Sonny Rollins,I'm an Old Cowhand
Gil Scott-Heron,Lady Day and John Coltrane
Sun Ra,Enlightenment
Louis Hardin,Symphonique #6 (Good For Goodie) - Instrumental
Arlo Guthrie,Connection
John Coltrane,Summertime
Jerry Garcia,When The Hunter Gets Captured By The Game
T. Rex,Buick Mackane
T. Rex,Jeepster
T. Rex,Chrome Sitar
T. Rex,Children of the Revolution - Remaster
T. Rex,Mystic Lady
Zoufris Maracas,Sur quel pied danser
Cream,Pressed Rat And Warthog
Led Zeppelin,Black Dog - Remaster
Led Zeppelin,Rock and Roll - Remaster
Led Zeppelin,Stairway to Heaven - Remaster
Aerosmith,Mama Kin
Red Hot Chili Peppers,Parallel Universe
Frank Zappa,Sexual Harassment In The Workplace
T. Rex,The Slider
T. Rex,Life Is Strange
T. Rex,Metal Guru
T. Rex,Ballrooms Of Mars
The Alan Parsons Project,Mammagamma - Instrumental
Jean-Michel Jarre,"Equinoxe, Pt. 5"
Arzachel,Queen St. Gang
Dr. Hook,"The Cover of ""Rolling Stone"""
Grateful Dead,"Althea - Live at Nassau Coliseum, Uniondale, NY 5/16/80; 2017 Remaster"
Pink Floyd,Pigs On The Wing 1 - 2011 Remaster
Pink Floyd,Free Four - 2011 Remastered Version
Pink Floyd,The Gold It's In The ... - 2011 Remastered Version
Free,Fire And Water
T. Rex,Knight - Stereo Version
T. Rex,Child Star - Stereo Version
T. Rex,Graceful Fat Sheba - Stereo Version
The Who,Baba O'Riley
Moondog,Bird's Lament
The Zodiac,Taurus - The Voluptuary
Arzachel,Azathoth
T. Rex,Graceful Fat Sheba - Mono Version
The Rolling Stones,Stray Cat Blues - Live
The Rolling Stones,All Down The Line
The Rolling Stones,Can You Hear The Music - Remastered
The Rolling Stones,So Divine (Aladdin Story)
The Rolling Stones,Summer Romance - Remastered
The Rolling Stones,"Cool, Calm And Collected"
Keith Richards,Wicked As It Seems
The Rolling Stones,I Go Wild - Remastered
The Rolling Stones,Coming Down Again - Remastered
The Rolling Stones,Can I Get A Witness
The Rolling Stones,Hand Of Fate - Remastered
The Rolling Stones,Back Street Girl
The Rolling Stones,Dirty Work - Remastered
Mick Jagger,Wandering Spirit
The Rolling Stones,You Can't Catch Me
The Rolling Stones,Doom And Gloom
The Rolling Stones,Think
The Rolling Stones,Sway - 2009 Mix
The Rolling Stones,Dance Little Sister - Remastered
Keith Richards,Rockawhile - 2019 Remaster
The Rolling Stones,Where The Boys Go - Remastered
Keith Richards,Whip It Up - 2019 Remaster
The Rolling Stones,Jiving Sister Fanny
The Rolling Stones,Little By Little - Mono Version
The Rolling Stones,Flight 505
Jimmy Page,Custard Pie
The Rolling Stones,No Expectations - 50th Anniversary Edition
The Rolling Stones,Empty Heart
Mick Fleetwood and Friends,The Green Manalishi (With the Two Prong Crown) [with Billy Gibbons & Kirk Hammett] - Live from The London Palladium
The Rolling Stones,I Got The Blues - 2009 Mix
The Rolling Stones,19th Nervous Breakdown - Mono Version
The Rolling Stones,Blue Turns To Grey
The Rolling Stones,"Have You Seen Your Mother, Baby, Standing In The Shadow? - Mono Version"
The Rolling Stones,Title 5
The Rolling Stones,Connection
Jimmy Page,Oh Well
The Rolling Stones,All Sold Out
The Rolling Stones,Petrol Blues
The Rolling Stones,Bitch - 2009 Mix
The Rolling Stones,Who's Been Sleeping Here?
The Rolling Stones,Carol - Live
The Rolling Stones,I Just Want To See His Face
Steppenwolf,The Pusher
The Yardbirds,"Stroll On (From ""Blow Up"") - 2015 Remaster"
The Rolling Stones,Sittin' On A Fence
The Rolling Stones,Jigsaw Puzzle - 50th Anniversary Edition
The Rolling Stones,Turd On The Run
Keith Richards,999
The Rolling Stones,Continental Drift - Remastered
Keith Richards,Struggle
The Rolling Stones,You Got The Silver
The Rolling Stones,Monkey Man
Peter Green,Bottoms Up
Blind Faith,"Can’t Find My Way Home - Live: Hyde Park, London 7th June 1969"
Muddy Waters,Mannish Boy
Peter Green,Just for You
Jimmy Page,Prison Blues
Procol Harum,A Whiter Shade of Pale - Original Single Version
Wings,Reception - Remastered 1993
Yes,Sweetness - 2003 Remaster
Keith Richards,Take It So Hard
T. Rex,Bang A Gong (Get It On) (Electric Version)
T. Rex,Salamanda Palaganda - Take 4
The Rolling Stones,Hide Your Love - Remastered
Arzachel,Garden Of Earthly Delights
The Rolling Stones,It's Not Easy
The Rolling Stones,I'm A King Bee
The Zodiac,Gemini - The Cool Eye
The Rolling Stones,Back Of My Hand - Remastered
The Rolling Stones,2120 South Michigan Avenue - Long Version
The Rolling Stones,Tallahassee Lassie
The Rolling Stones,Sweet Black Angel
The Zodiac,Aries - The Fire Fighter
The Rolling Stones,Star Star - 2020
The Rolling Stones,You Win Again
The Zodiac,Libra - The Flower Child
The Beatles,I Want You (She's So Heavy) - Remastered 2009
The Beatles,Flying - Remastered 2009
The Beatles,I Me Mine - Remastered 2009
The Beatles,Rocky Raccoon - Remastered 2009
The Beatles,Helter Skelter - Remastered 2009
The Beatles,I Am The Walrus - Remastered 2009
The Beatles,Happiness Is A Warm Gun - Remastered 2009
The Beatles,I'm Only Sleeping - Remastered 2009
The Beatles,Hey Bulldog - Remastered 2009
The Beatles,Taxman - Remastered 2009
The Beatles,Your Mother Should Know - Remastered 2009
The Beatles,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009
Jerry Garcia Band,Gomorrah
Steely Dan,Bad Sneakers
St. John Green,Devil And The Sea
Little Feat,All That You Dream (with Linda Ronstadt)
Soft Machine,Joy Of A Toy
Dire Straits,Six Blade Knife
T. Rex,Scenescof - Mono Version
The West Coast Pop Art Experimental Band,Smell of Incense
The Doors,Strange Days
Grand Funk Railroad,We're An American Band - Remastered 2002
The Rolling Stones,Not Fade Away - Mono Version
13th Floor Elevators,Reverberation (Doubt) [2008 Remastered Original Mono LP Version]
The Pretty Things,The Good Mr. Square
Soft Machine,Priscilla
Bill Wyman,Come Back Suzanne
The Rolling Stones,Blinded By Love - Remastered
Signal,Glassworks: I. Opening
Jimmy Page,Black Mountain Side
Jana Crämer,"Das erste Mal beim Psychodoc, Teil 7"
Jana Crämer,"Besser als ein Strick, Teil 1"
Jana Crämer,"Gefühle sind zum Fühlen da, Teil 1"
Jerry Garcia Band,Rubin And Cherise
The Rolling Stones,Live With Me
The Zodiac,Leo - The Lord of Lights
Quicksilver Messenger Service,Gold And Silver
Wolfgang Amadeus Mozart,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto"""
Erik Satie,Gnossienne No. 1 (Arr. Kleynjans)
Wire,Strange - 2006 Remastered Version
WITCH,Lazy Bones
Iggy Pop,The Endless Sea
Elvis Costello & The Attractions,The Beat - 2021 Remaster
Haruomi Hosono,Choo Choo Gatagoto
Morphine,Buena
John Lee Hooker,The Motor City Is Burning
Vangelis,Abraham's Theme
Vangelis,Fields of Coral
Vangelis,Main Titles
Enya,Orinoco Flow - 2009 Remaster
Philip Glass,Koyaanisqatsi
Vangelis,Le singe bleu - Remastered
Michael Nyman,The Heart Asks Pleasure First
Vangelis,Ask the Mountains
Tom Petty and the Heartbreakers,Nightwatchman
Bob Dylan,Man in the Long Black Coat
Dire Straits,Skateaway
Frank Zappa,What's New In Baltimore?
Merl Saunders,Positively 4th Street
Robert Plant,In the Mood - 2006 Remaster
Stevie Ray Vaughan,Scuttle Buttin'
Rush,Red Barchetta
Pink Floyd,Learning To Fly - 2019 Remix
Pete Townshend,Give Blood
The Who,Eminence Front - Live
The Rolling Stones,One Hit (To The Body) - Remastered
Ozzy Osbourne,Mr. Crowley
Mott The Hoople,All the Young Dudes - David Bowie & Ian Hunter Vocal
Deep Purple,Son Of Alerik
Donovan,Clara Clairvoyant
Umphrey's McGee,In the Kitchen
"Crosby, Stills & Nash",Just a Song Before I Go
Rush,Different Strings
The Rolling Stones,Down Home Girl
The Rolling Stones,Silver Train - Remastered
The Rolling Stones,Midnight Rambler
The Zodiac,Capricorn - The Uncapricious Climber
The Rolling Stones,Dandelion
The Rolling Stones,My Obsession
The Rolling Stones,Hide Your Love - 2020
The Rolling Stones,I Can't Be Satisfied
Rush,Working Man
Rush,The Trees
Rush,Finding My Way
Rush,A Passage To Bangkok
Rush,Anthem
Rush,A Farewell To Kings
Rush,Here Again
Rush,Leave That Thing Alone - 2004 Remaster
Rush,Digital Man
Rush,Jacob's Ladder
Rush,YYZ
Rush,The Spirit Of Radio
Rush,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley
Rush,Subdivisions
Rush,Animate - 2004 Remaster
Rush,The Analog Kid
Rush,Something For Nothing
The Dandy Warhols,Nietzsche
Quicksilver Messenger Service,Fresh Air
Pearl Jam,Severed Hand
Country Joe & The Fish,Section 43
Pearl Jam,Comatose
Pearl Jam,Red Mosquito
The Rolling Stones,You Can Make It If You Try
Rush,In The End
Pearl Jam,Gods' Dice
The Who,The Ox
The Who,Rael - Pt.1 & Pt.2 / Track Records Run Out Groove / Mono Version
Rush,Chemistry
Frank Zappa,Flakes
The Rolling Stones,Ride On Baby
Jimmy Page,She Just Satisfies
Pink Floyd,The Nile Song - 2011 Remaster
The Who,Armenia City In The Sky - Mono Version
Rush,Losing It
Kraftwerk,Computer Love - 2009 Remaster
The Who,Silas Stingy - Mono Version
The Who,Someone's Coming - UK Single Mix / Mono Version
The Who,Who Are You
Pearl Jam,Man of the Hour
Pearl Jam,Smile
Pearl Jam,Present Tense
Pearl Jam,Immortality - Remastered
Pearl Jam,Corduroy - Remastered
Pearl Jam,Elderly Woman Behind the Counter in a Small Town - Remastered
Pearl Jam,Rearviewmirror - Remastered
Pearl Jam,Better Man
Pearl Jam,Tremor Christ - Remastered
Pearl Jam,Fatal
Pearl Jam,Satan's Bed - Remastered
Pearl Jam,Not for You - Remastered
Pearl Jam,Lukin
The Rolling Stones,Please Go Home
Jerry Garcia Band,The Night They Drove Old Dixie Down - Live
Pearl Jam,Sad
Pearl Jam,Brain of J.
Pearl Jam,Marker In The Sand
Pearl Jam,Got Some
Pearl Jam,Last Exit - Remastered
Pearl Jam,World Wide Suicide
The Rolling Stones,Parachute Woman - 50th Anniversary Edition
Pearl Jam,Given to Fly
Pearl Jam,Amongst The Waves
Pearl Jam,All or None
Cream,Toad
The Mothers Of Invention,My Guitar Wants To Kill Your Mama
America,Lonely People
The Box Tops,The Letter
Wildes Holz,Ginger Soussou
The Who,Young Man Blues - Live
The Kinks,Shangri-La - 2019 Remaster
"Crosby, Stills & Nash",Marrakesh Express - 2005 Remaster
Creedence Clearwater Revival,Crazy Otto - Live at The Fillmore
The Rolling Stones,Let It Loose
The Rolling Stones,Far Away Eyes - Remastered
The Rolling Stones,In Another Land - Remastered 2017 / Stereo
The Rolling Stones,Honky Tonk Women
Jethro Tull,Living in the Past - 2001 Remaster
Free,Woman
Jethro Tull,Locomotive Breath
Free,I'm A Mover
Jefferson Airplane,Somebody to Love
Free,I'll Be Creepin'
Free,Walk In My Shadow
Fleetwood Mac,Oh Well (Pt. 2) - 2013 Remaster
Traffic,Hole In My Shoe
Fleetwood Mac,Before The Beginning - 2013 Remaster
Donovan,Barabajagal (with Jeff Beck Group)
Deep Purple,Hush - 1998 Remaster
Taj Mahal,Ain't That A Lot Of Love - Remastered 2018
Donovan,The Trip
Fleetwood Mac,The Green Manalishi (With the Two Prong Crown) - 2013 Remaster
The Kinks,Dead End Street - Mono Mix
CAN,Don't Say No
The Budos Band,Up From the South
Hailu Mergia,Musicawi Silt
Tamikrest,Tisnant an Chatma
Amanaz,Green Apple
Ernie Hawks,Journey to the Bottom
WITCH,Lazy Bones
Wallias Band,Muziqawi silt - instrumental
The Hygrades,Rough Rider
The Budos Band,T.I.B.W.F.
Mike Bloomfield,Stop
The Dave Brubeck Quartet,Blue Rondo à la Turk
Béla Fleck and the Flecktones,The Sinister Minister
Weather Report,A Remark You Made
Jeff Beck,Come Dancing
Django Reinhardt,I'll See You in My Dreams
Wes Montgomery,Tequila
Mulatu Astatke,Yègellé Tezeta
Freddie Hubbard,Red Clay
Aphrodite's Child,The Battle Of The Locusts
King Crimson,Coda: Marine 475 - Abridged
King Crimson,Industrial Zone A
CAN,Paperhouse
Soft Machine,Aubade
Triumvirat,The Sweetest Sound Of Liberty
Cream,Outside Woman Blues
The Doors,Touch Me
The Beatles,She Said She Said - Remastered 2009
Cream,World Of Pain
The Doors,Light My Fire
The Beatles,She Came In Through The Bathroom Window - Remastered 2009
The Rolling Stones,She Was Hot - Remastered
The Rolling Stones,Hitch Hike - Remastered 2002
Mahavishnu Orchestra,Birds Of Fire
Chet Baker,Let's Get Lost
Goblin,La via della droga - Originale
King Crimson,Lizard (Prince Rupert Awakes/Bolero/The Battle of Glass Tears/Big Top)
King Crimson,Neurotica
Deep Purple,Into the Fire - 1995 Remaster
Deep Purple,Living Wreck - 1995 Remaster
Talking Heads,Cities - 2005 Remaster
Bachman-Turner Overdrive,Free Wheelin
Buddy Miles,Them Changes
Frank Zappa,Po-Jama People
Jimi Hendrix,Purple Haze
Creedence Clearwater Revival,Don't Look Now
Free,All Right Now
Allman Brothers Band,Midnight Rider
Creedence Clearwater Revival,Bootleg
Les Choeurs Emilira,Khalouni Nghani
Orchestre National De Barbes,Poulina
Hamid Baroudi,Ca Bouge
Le Trio Joubran,Nawwâr
Hamid Baroudi,Baraka
Aziz Sahmaoui,Maktoube - Short Version
Babylone,Hayem
Tamikrest,Mawarniha Tartit
Hamid Baroudi,African Soul
Tamikrest,Itous
Tarwa N-Tiniri,Tit N Tit
Miles Davis,Blackmail - The Hot Spot/Soundtrack Version
Mahavishnu Orchestra,"You Know, You Know (with John McLaughlin) - Remastered"
Beastie Boys,Song For Junior - Remastered 2009
Sam Cooke,Summertime (Part 1) - Mono
"Medeski, Martin & Wood",Note Bleu
The Beach Boys,That's Not Me - Mono
The Beach Boys,Little Bird - Remastered 2001
The Beach Boys,God Only Knows - Mono
The Beach Boys,Our Prayer
The Beach Boys,Sloop John B
The Beach Boys,Do It Again - Remastered 2001
The Beach Boys,You Still Believe In Me - Mono
The Beach Boys,In My Room - Remastered
The Beach Boys,"Caroline, No - Mono"
The Beach Boys,Good Vibrations - Remastered 2001
The Beach Boys,I Know There's An Answer
Béla Fleck,Blue Mountain Hop
Talking Heads,Warning Sign - 2005 Remaster
Talking Heads,The Book I Read - 2005 Remaster
Talking Heads,Don't Worry About the Government - 2005 Remaster
Doc Watson,Sittin On Top Of The World
Jerry Garcia,Shady Grove
Merl Saunders,"Gee Baby, Ain't I Good To You?"
Merl Saunders,Little Bit Of Righteousness
Uncle Tupelo,Sandusky
Booker T. & the M.G.'s,Hip Hug-Her
Merl Saunders & Friends,After Midnight
Jerry Garcia & Howard Wales,Up From The Desert
Merl Saunders,Ain’t No Woman Like The One I’ve Got
Yonder Mountain String Band,Midwest Gospel Radio
Leo Kottke,Vaseline Machine Gun
The Kinks,A Well Respected Man
The Rolling Stones,Respectable - Remastered
Blodwyn Pig,Long Bomb Blues - 2009 Remaster
Steamhammer,Passing Through - Remastered
Edgar Broughton Band,Don't Even Know Which Day It Is - 2004 Remaster
Blodwyn Pig,The Change Song - 2006 Remaster
Steamhammer,Water (Part One) - Digitally Remastered Version
Black Cat Bones,Death Valley Blues
